Address,Price
"171 Whitehouse Road, Edinburgh, EH4 6DD","£1,250,000  on 1 August 2024"
"Flat 2, 1 Wintour Lane, Currie, EH14 6AY","£160,000  on 1 August 2024,£132,000  on 23 September 2020"
"Flat 9, 32 Queen's Park Court, Edinburgh, EH8 7DY","£312,500  on 1 August 2024,£255,000  on 3 September 2020"
"9 Rowieston Drive, Edinburgh, EH17 8WL","£395,000  on 1 August 2024,£320,995  on 12 March 2020"
"51 Todshaugh Gardens, Kirkliston, EH29 9GE","£35,000  on 1 August 2024,£358,000  on 12 August 2022"
"2F2, 5 Thirlestane Road, Edinburgh, EH9 1AL","£450,000  on 1 August 2024,£475,000  on 8 December 2021"
"10 Abbeyhill Crescent, Edinburgh, EH8 8DZ","£287,500  on 1 August 2024"
"16/4, Kings Road, Edinburgh, EH15 1DZ","£174,000  on 31 July 2024,£172,525  on 24 October 2022"
"Flat 14, 17 Hughes Close, Edinburgh, EH7 4GN","£480,000  on 31 July 2024,£475,000  on 31 August 2022"
"24/3, East Parkside, Edinburgh, EH16 5XN","£225,000  on 31 July 2024"
"4/1, Buccleuch Terrace, Edinburgh, EH8 9ND","£210,000  on 31 July 2024"
"129/3, Canongate, Edinburgh, EH8 8BP","£270,000  on 31 July 2024"
"12 Whinny Row, South Queensferry, EH30 9EG","£650,000  on 31 July 2024"
"19/1, Craigmillar Castle Loan, Edinburgh, EH16 4BJ","£160,000  on 31 July 2024"
"Flat 1, 22 Ashley Place, Edinburgh, EH6 5GB","£247,500  on 31 July 2024"
"2/13, Succoth Court, Edinburgh, EH12 6BY","£430,000  on 31 July 2024"
"21/1, South Gyle Mains, Edinburgh, EH12 9HS","£160,000  on 31 July 2024"
"15/2, Gordon Street, Edinburgh, EH6 8NW","£193,000  on 31 July 2024"
"Flat 11, 12 East Pilton Farm Crescent, Edinburgh, EH5 2GH","£230,000  on 31 July 2024"
"27b Inverleith Row, Edinburgh, EH3 5QH","£450,000  on 31 July 2024"
"34 Silverknowes Eastway, Edinburgh, EH4 5NE","£383,000  on 31 July 2024"
"78/2 Gylemuir Road, Edinburgh, EH12 7DW","£219,000  on 31 July 2024"
"Flat 9, 30D, Corstorphine Road, Edinburgh, EH12 6DU","£810,000  on 31 July 2024"
"45 Baroque Drive, Danderhall, Dalkeith, EH22 1PA","£495,995  on 31 July 2024"
"3/23, Western Gardens, Edinburgh, EH12 5QD","£405,000  on 31 July 2024"
"169/2, Crewe Road West, Edinburgh, EH5 2PF","£126,000  on 31 July 2024"
"Flat 9, 6 Haig Lane, Edinburgh, EH6 5GA","£265,000  on 31 July 2024,£226,995  on 2 October 2020"
"29A, Broughton Place, Edinburgh, EH1 3RW","£385,000  on 31 July 2024,£350,000  on 29 June 2020"
"12 Larchwood Square, Edinburgh, EH12 8WT","£369,000  on 31 July 2024,£410,000  on 4 April 2024,£355,000  on 25 October 2021"
"24/4 Duff Street, Edinburgh, EH11 2HG","£85,000  on 31 July 2024"
"14/5 Sandport, Edinburgh, EH6 6PL","£200,000  on 31 July 2024"
"5 William Black Place, South Queensferry, West Lothian, EH30 9PZ","£221,500  on 31 July 2024"
"5/3, Glen Street, Edinburgh, EH3 9JD","£207,500  on 31 July 2024"
"25 Carlton Terrace Mews, Edinburgh, EH7 5DA","£510,000  on 31 July 2024"
"38 Stuart Crescent, Edinburgh, EH12 8XS","£170,000  on 31 July 2024"
"10/33, Pilrig Heights, Edinburgh, EH6 5BB","£250,000  on 31 July 2024"
"18 Mortonhall Road, Edinburgh, EH9 2HW","£825,000  on 31 July 2024"
"Flat 4, 16 Pinkhill Park, Carrick Knowe, Edinburgh, EH12 7FJ","£324,995  on 31 July 2024"
"11/4, Polwarth Place, Edinburgh, EH11 1LG","£340,000  on 31 July 2024"
"Flat 1, 1 Elder Street, Edinburgh, EH1 3BS","£410,000  on 31 July 2024"
"Flat 9, 9 Featherhall Avenue, Edinburgh, EH12 7TG","£169,100  on 31 July 2024,£139,500  on 23 July 2021"
"113/8, West Savile Terrace, Edinburgh, EH9 3DN","£250,000  on 31 July 2024"
"3/4, Leopold Place, Edinburgh, EH7 5JW","£490,000  on 31 July 2024,£460,000  on 29 July 2022"
"16 Sunbury Place, Edinburgh, EH4 3BY","£550,000  on 31 July 2024"
"40 Kings Road, Edinburgh, EH15 1DY","£65,000  on 31 July 2024"
"4 Barnton Park Grove, Edinburgh, EH4 6HG","£500,786  on 30 July 2024"
"23 India Street, Edinburgh, EH3 6HE","£1,250,000  on 30 July 2024"
"10 Whinny Row, South Queensferry, EH30 9EG","£570,000  on 30 July 2024"
"4 Norwal Way, Edinburgh, EH12 0EA","£362,995  on 30 July 2024"
"165 Gilmerton Dykes Drive, Edinburgh, EH17 8LP","£222,000  on 30 July 2024"
"3/6, Buccleuch Terrace, Edinburgh, EH8 9NB","£185,000  on 30 July 2024"
"9 James Gall Wynd, Edinburgh, EH16 5FF","£750,000  on 30 July 2024,£795,000  on 30 March 2023"
"11/3 East Pilton Farm Rigg, Edinburgh, EH5 2GE","£235,000  on 30 July 2024,£252,500  on 15 July 2022"
"270 Ferry Road, Edinburgh, EH5 3AN","£451,500  on 30 July 2024"
"15/5, Belmont Road, Juniper Green, EH14 5DZ","£175,000  on 30 July 2024"
"9/11, Allanfield, Edinburgh, EH7 5YH","£210,000  on 29 July 2024"
"6/3, Burns Street, Edinburgh, EH6 8DS","£175,000  on 29 July 2024"
"96/1, Myreside Road, Edinburgh, EH10 5BZ","£227,500  on 29 July 2024"
"Flat 3, 45 York Place, Edinburgh, EH1 3HP","£265,000  on 29 July 2024"
"3 Greenend Drive, Edinburgh, EH17 7QG","£280,000  on 29 July 2024"
"8D, West Mill Road, Edinburgh, EH13 0NX","£410,000  on 29 July 2024"
"42/13, Shore, Edinburgh, EH6 6QU","£220,000  on 29 July 2024,£197,000  on 30 October 2020"
"9 Darnley Terrace, Edinburgh, EH16 4WS","£210,000  on 29 July 2024"
"20 Henry Ross Place, South Queensferry, EH30 9NE","£325,103  on 29 July 2024,£284,000  on 5 September 2022"
"3 Saltire Square, Edinburgh, EH5 1PR","£200,000  on 29 July 2024,£170,000  on 5 August 2021"
"26 Main Street, Kirkliston, West Lothian, EH29 9AA","£310,000  on 29 July 2024"
"Flat 6, 25 Waterfront Gait, Edinburgh, EH5 1AD","£173,000  on 29 July 2024"
"11/9, Huntingdon Place, Edinburgh, EH7 4AX","£280,000  on 29 July 2024"
"3/3, Grange Loan, Edinburgh, EH9 2NP","£309,000  on 29 July 2024"
"98/1, Slateford Road, Edinburgh, EH14 1NP","£195,000  on 26 July 2024"
"46 Baroque Drive Danderhall, Danderhall, Dalkeith, EH22 1PA","£392,995  on 26 July 2024"
"40/2, Saughton Park, Edinburgh, EH12 5TQ","£182,000  on 26 July 2024"
"49 Learmonth Avenue, Edinburgh, EH4 1BT","£440,000  on 26 July 2024"
"10 Springwood Park, Edinburgh, EH16 6JL","£270,000  on 26 July 2024"
"34 Carlyle Place, Edinburgh, EH7 5RY","£327,000  on 26 July 2024"
"35 Mountcastle Place, Edinburgh, EH8 7TB","£315,000  on 26 July 2024"
"31 West Craigs Crescent, Edinburgh, EH12 8NA","£340,000  on 26 July 2024"
"27/12, Greenpark, Edinburgh, EH17 7TB","£220,000  on 26 July 2024"
"64 Turnhouse Road, Edinburgh, EH12 8ND","£222,500  on 26 July 2024"
"54 Craiglockhart Road North, Edinburgh, EH14 1BT","£500,000  on 26 July 2024"
"14 Victor Park Terrace, Edinburgh, EH12 8BB","£368,500  on 26 July 2024"
"221/4, Portobello High Street, Edinburgh, EH15 2AN","£125,000  on 26 July 2024,£121,500  on 8 September 2023,£99,995  on 29 April 2022"
"50 Broomside Terrace, Edinburgh, EH12 7ND","£195,759  on 26 July 2024"
"98/1, Slateford Road, Edinburgh, EH14 1NP","£195,000  on 26 July 2024"
"19 Lawrie Reilly Place, Edinburgh, EH7 5EU","£342,550  on 26 July 2024"
"11/4, Edina Place, Edinburgh, EH7 5RN","£195,000  on 26 July 2024,£145,000  on 13 November 2020"
"57 Crewe Crescent, Edinburgh, EH5 2JR","£160,000  on 26 July 2024"
"4/6, Allanfield, Edinburgh, EH7 5YG","£167,500  on 26 July 2024"
"33 Hillpark Avenue, Edinburgh, EH4 7AQ","£657,000  on 26 July 2024"
"70 Longstone Grove, Edinburgh, EH14 2BX","£200,000  on 26 July 2024,£183,000  on 31 January 2020"
"Flat 23, Caiystane Court, 11 Oxgangs Road North, Edinburgh, EH13 9AA","£200,000  on 26 July 2024"
"8/4 Sheriff Park, Edinburgh, EH6 6DY","£215,215  on 26 July 2024"
"84 Broomhall Avenue, Edinburgh, EH12 7NS","£190,500  on 26 July 2024"
"22/3 South Gray Street, Edinburgh, EH9 1TE","£219,000  on 26 July 2024"
"24 Almondside, Kirkliston, West Lothian, EH29 9BD","£183,000  on 26 July 2024"
"Flat 3, 1 High Waterfield, Edinburgh, EH10 6TQ","£367,500  on 26 July 2024"
"252 The Murrays Brae, Edinburgh, EH17 8UL","£185,000  on 26 July 2024"
"173/309 Comely Bank Road, Edinburgh, EH4 1DJ","£255,666  on 26 July 2024"
"68 Claverhouse Drive, Edinburgh, EH16 6DQ","£292,100  on 26 July 2024"
"Flat 57, Lyle Court, 25 Barnton Grove, Edinburgh, EH4 6EZ","£225,000  on 26 July 2024"
"Flat 8, Homescott House, 6 Goldenacre Terrace, Edinburgh, EH3 5RD","£112,500  on 26 July 2024"
"7 Milton Street, Edinburgh, EH8 8EZ","£184,221  on 26 July 2024"
"Flat 15, 9 Salamander Court, Edinburgh, EH6 7JP","£215,000  on 26 July 2024"
"24/1 Sunbury Place, Edinburgh, EH4 3BY","£375,000  on 26 July 2024"
"Flat 5, 12 Hopetoun Street, Edinburgh, EH7 4GH","£325,000  on 26 July 2024"
"1 Mayville Gardens, Edinburgh, EH5 3DB","£700,000  on 26 July 2024"
"30/2 Rannoch Road, Edinburgh, EH4 7EP","£167,265  on 26 July 2024"
"26 Silverknowes Eastway, Edinburgh, EH4 5NE","£422,000  on 26 July 2024"
"7 Joppa Gardens, Edinburgh, EH15 2HU","£455,199  on 26 July 2024"
"6/2, Orwell Terrace, Edinburgh, EH11 2DZ","£271,123  on 26 July 2024,£222,600  on 6 December 2019"
"9 Cameron Park, Edinburgh, EH16 5JY","£670,000  on 26 July 2024"
"15/1, Piersfield Grove, Edinburgh, EH8 7BU","£170,000  on 26 July 2024"
"62, Spottiswoode Street, Edinburgh, EH9 1DH","£435,000  on 26 July 2024"
"21 Abercorn Court, Edinburgh, EH8 7LP","£255,000  on 26 July 2024"
"52 Groathill Road North, Edinburgh, EH4 2SJ","£286,260  on 26 July 2024"
"25 Panmure Place, Edinburgh, EH3 9HP","£385,000  on 26 July 2024,£305,000  on 10 September 2021"
"54 Easter Road, Edinburgh, EH7 5RQ","£324,000  on 26 July 2024"
"57/5 Oxgangs Avenue, Edinburgh, EH13 9HU","£150,000  on 26 July 2024"
"165/10, Slateford Road, Edinburgh, EH14 1PD","£171,071  on 26 July 2024"
"53 Broombank Terrace, Edinburgh, EH12 7NZ","£197,500  on 26 July 2024"
"5/6, Maxwell Street, Edinburgh, EH10 5HT","£333,000  on 26 July 2024,£217,500  on 28 August 2023"
"58 Cowan Road, Edinburgh, EH11 1RJ","£375,200  on 26 July 2024"
"115 Gyle Park Gardens, Edinburgh, EH12 8NU","£302,000  on 26 July 2024"
"66 Waterfront Avenue, Edinburgh, EH5 1JD","£262,250  on 26 July 2024"
"27 Mucklets Avenue, Musselburgh, EH21 6HT","£265,399  on 26 July 2024"
"11/1, High Riggs, Edinburgh, EH3 9BW","£310,000  on 26 July 2024"
"4 Niven Way, Edinburgh, EH12 8FP","£475,000  on 26 July 2024"
"Flat 1, Bartholomew House, 12 Duncan Street, Edinburgh, EH9 1SZ","£620,000  on 26 July 2024"
"20 Harrison Road, Edinburgh, EH11 1EG","£490,000  on 26 July 2024"
"17 Strachan Road, Edinburgh, EH4 3RH","£775,000  on 26 July 2024"
"11/3, Ramsay Garden, Edinburgh, EH1 2NA","£485,000  on 26 July 2024"
"25B, Templeland Road, Edinburgh, EH12 8SD","£654,000  on 26 July 2024"
"16/1, Stevenson Drive, Edinburgh, EH11 3HL","£215,000  on 26 July 2024"
"15/1, Allanfield, Edinburgh, EH7 5YJ","£223,000  on 26 July 2024"
"59 Fauldburn, Edinburgh, EH12 8YQ","£217,500  on 26 July 2024"
"87/4, Granton Crescent, Edinburgh, EH5 1NY","£170,170  on 26 July 2024"
"18/4, Lonsdale Terrace, Edinburgh, EH3 9HL","£600,000  on 26 July 2024,£600,000  on 15 June 2023"
"5/6, Maxwell Street, Edinburgh, EH10 5HT","£333,000  on 26 July 2024,£217,500  on 28 August 2023"
"17 The Bowling Green, Edinburgh, EH6 5RN","£403,000  on 26 July 2024,£303,500  on 11 May 2020"
"Flat 19, 30 West Bowling Green Street, Edinburgh, EH6 5PB","£268,000  on 26 July 2024,£238,000  on 17 December 2021"
"4/5, Coxfield, Edinburgh, EH11 2SY","£150,000  on 26 July 2024"
"Flat F7 Level 2, 5 Bonnington Road Lane, Edinburgh, EH6 5BJ","£266,000  on 26 July 2024"
"56 Home Street, Edinburgh, EH3 9NA","£255,000  on 26 July 2024,£240,000  on 13 July 2021,£75,000  on 2 February 2021"
"5/5, Royston Mains Crescent, Edinburgh, EH5 1NQ","£130,000  on 26 July 2024"
"83 Jean Armour Avenue, Edinburgh, EH16 6XD","£271,000  on 26 July 2024"
"39 Morton Street, Edinburgh, EH15 2JA","£750,000  on 26 July 2024"
"115/2 Stenhouse Drive, Edinburgh, EH11 3NW","£115,000  on 26 July 2024"
"301 Easter Road, Edinburgh, EH6 8LH","£200,000  on 26 July 2024"
"20/1 Ferry Gait Crescent, Edinburgh, EH4 4GR","£160,000  on 26 July 2024"
"23 Forrester Road, Edinburgh, EH12 8AD","£340,317  on 26 July 2024"
"117 Moira Terrace, Edinburgh, EH7 6UB","£455,150  on 26 July 2024"
"20/6 Loganlea Drive, Edinburgh, EH7 6LW","£135,701  on 26 July 2024,£96,000  on 15 January 2021"
"Plot 212, Flat 6, 4 Robertson Gait, Edinburgh, EH11 1HJ","£200,000  on 26 July 2024"
"76 Merchiston Avenue, Edinburgh, EH10 4PA","£400,000  on 26 July 2024"
"25 Toddshill Road, Kirkliston, West Lothian, EH29 9DF","£200,000  on 26 July 2024,£181,500  on 2 June 2021"
"8, Beaverbank Place, Edinburgh, EH7 4ER","£163,675  on 26 July 2024"
"197 Lindsay Road, Edinburgh, EH6 6ND","£310,000  on 26 July 2024"
"65 Hawkhill, Edinburgh, EH7 6LB","£335,000  on 26 July 2024"
"11 Claremont Road, Edinburgh, EH6 7NE","£515,000  on 26 July 2024,£510,000  on 6 January 2023"
"26 Alva Place, Edinburgh, EH7 5AX","£410,000  on 26 July 2024"
"1 Corslet Road, Currie, Midlothian, EH14 5LZ","£305,000  on 26 July 2024"
"246/5, Gorgie Road, Edinburgh, EH11 2PL","£217,607  on 26 July 2024"
"28/3 Stenhouse Avenue West, Edinburgh, EH11 3EU","£172,000  on 26 July 2024"
"39 Inglis Green Road, Edinburgh, EH14 2EY","£220,000  on 26 July 2024,£190,000  on 20 August 2020"
"2d Oxgangs Green, Edinburgh, EH13 9JE","£140,000  on 26 July 2024"
"30/4 Lower Granton Road, Edinburgh, EH5 3RS","£222,500  on 26 July 2024"
"24/2 Lochend Road South, Edinburgh, EH7 6BP","£140,000  on 26 July 2024"
"9 Broomlea Crescent, Edinburgh, EH12 7NR","£230,000  on 26 July 2024"
"28/4, West Nicolson Street, Edinburgh, EH8 9DD","£318,000  on 26 July 2024"
"7/5, Parkhead Crescent, Edinburgh, EH11 4RY","£146,000  on 26 July 2024"
"4 Melville Grange Cottage, Lasswade, EH18 1AT","£266,000  on 26 July 2024,£185,000  on 29 June 2021"
"44 Baroque Drive, Danderhall, Dalkeith, EH22 1PA","£520,995  on 26 July 2024"
"7/5, Parkhead Crescent, Edinburgh, EH11 4RY","£146,000  on 26 July 2024"
"19 Craigievar Square, Edinburgh, EH12 8YP","£145,000  on 26 July 2024"
"21 Amos Crescent, Edinburgh, EH12 8FB","£539,995  on 26 July 2024"
"24 Fairley Crescent, Edinburgh, EH12 0BE","£570,000  on 26 July 2024"
"59 Baberton Mains Wood, Edinburgh, EH14 3EZ","£326,565  on 26 July 2024"
"Flat 31, 10 Simpson Loan, Edinburgh, EH3 9GQ","£340,000  on 26 July 2024"
"9 Westfield Street, Edinburgh, EH11 2RB","£145,000  on 26 July 2024"
"485 Gilmerton Road, Edinburgh, EH17 7JE","£263,000  on 26 July 2024"
"71 Howden Hall Drive, Edinburgh, EH16 6UP","£330,000  on 26 July 2024"
"2 Howden Hall Gardens, Edinburgh, EH16 6UN","£202,000  on 26 July 2024"
"11 Broomhall Crescent, Edinburgh, EH12 7PG","£251,500  on 26 July 2024"
"34 Buckstone Drive, Edinburgh, EH10 6PQ","£345,000  on 26 July 2024"
"48 Mountcastle Drive South, Edinburgh, EH15 1PL","£565,333  on 26 July 2024"
"6 Lilybank Wynd, Ratho Station, Newbridge, EH28 8AR","£196,000  on 26 July 2024"
"51 Deanhaugh Street, Edinburgh, EH4 1LR","£255,000  on 26 July 2024"
"4 Melville Grange Cottage, Lasswade, EH18 1AT","£266,000  on 26 July 2024,£185,000  on 29 June 2021"
"53 Bonnybridge Drive, Edinburgh, EH15 3FB","£340,000  on 26 July 2024"
"8 Learmonth Court, Edinburgh, EH4 1PB","£274,000  on 26 July 2024"
"86 Lasswade Road, Edinburgh, EH16 6SF","£620,000  on 26 July 2024"
"16 Kimmerghame Place, Edinburgh, EH4 2GE","£297,500  on 26 July 2024"
"23 Ravelston Dykes, Edinburgh, EH4 3JE","£1,100,000  on 26 July 2024"
"27 Colinton Mains Grove, Edinburgh, EH13 9DG","£215,000  on 26 July 2024,£198,000  on 2 July 2021"
"14 Laverockdale Park, Edinburgh, EH13 0QE","£610,000  on 26 July 2024"
"6 Hermand Terrace, Edinburgh, EH11 1QZ","£310,000  on 26 July 2024"
"11e/2 Ravelston Park, Edinburgh, EH4 3DX","£399,000  on 26 July 2024"
"1F2 19, Albion Place, Edinburgh, EH7 5QS","£185,000  on 26 July 2024"
"1/9, Western Harbour Drive, Edinburgh, EH6 1LR","£272,500  on 26 July 2024"
"33 Redford Avenue, Edinburgh, EH13 0BX","£510,000  on 26 July 2024"
"39/14 East Crosscauseway, Edinburgh, EH8 9HG","£110,000  on 26 July 2024"
"21/3 Bathfield, Edinburgh, EH6 4DU","£120,000  on 26 July 2024"
"2F1, 6 Craigcrook Terrace, Edinburgh, EH4 3QN","£386,284  on 26 July 2024"
"21 Niddrie Marischal Crescent, Edinburgh, EH16 4LB","£170,000  on 26 July 2024"
"3F3, 13/15, Westfield Road, Edinburgh, EH11 2QS","£181,600  on 26 July 2024,£163,600  on 13 May 2021"
"Flat 13, 22 Barnton Grove, Edinburgh, EH4 6EJ","£390,250  on 26 July 2024"
"27 Hugh Miller Place, Edinburgh, EH3 5JG","£480,000  on 26 July 2024,£475,000  on 16 September 2022"
"7/4 Lindsay Road, Edinburgh, EH6 4DT","£185,000  on 26 July 2024,£155,000  on 5 February 2021"
"16 Kingsburgh Crescent, Edinburgh, EH5 1JF","£410,000  on 26 July 2024"
"77 Cumberland Street, Edinburgh, EH3 6RD","£300,000  on 26 July 2024"
"2/3, Springfield Buildings, Edinburgh, EH6 5EG","£166,000  on 26 July 2024"
"3/4 Whyte Place, Lower London Road, Edinburgh, EH7 5TA","£132,000  on 26 July 2024"
"215/6 Duddingston Park South, Edinburgh, EH15 3EJ","£172,000  on 26 July 2024,£170,000  on 9 September 2022"
"11 Hillpark Grove, Edinburgh, EH4 7AP","£675,000  on 26 July 2024"
"14c Niddrie Mill Crescent, Edinburgh, EH15 3ET","£156,000  on 26 July 2024,£160,000  on 13 July 2022"
"Flat 4, 24 Newhalls Road, South Queensferry, West Lothian, EH30 9TA","£270,000  on 26 July 2024"
"6/15 Appin Street, Edinburgh, EH14 1PN","£285,000  on 26 July 2024"
"6/12 Appin Street, Edinburgh, EH14 1PN","£299,500  on 26 July 2024"
"18 Alnwickhill Grove, Edinburgh, EH16 6YA","£220,000  on 26 July 2024,£192,500  on 18 November 2020"
"Flat 73, Lyle Court, 25 Barnton Grove, Edinburgh, EH4 6EZ","£285,000  on 26 July 2024,£285,000  on 10 July 2020"
"51/11, Watson Crescent, Edinburgh, EH11 1EW","£215,000  on 26 July 2024"
"3F3, 13/15, Westfield Road, Edinburgh, EH11 2QS","£181,600  on 26 July 2024,£163,600  on 13 May 2021"
"Flat 73, Lyle Court, 25 Barnton Grove, Edinburgh, EH4 6EZ","£285,000  on 26 July 2024,£285,000  on 10 July 2020"
"15/8, Montpelier, Edinburgh, EH10 4LZ","£330,000  on 25 July 2024"
"7 Norwal Way, Edinburgh, EH12 0EA","£579,995  on 25 July 2024"
"7 Craigleith Hill Park, Edinburgh, EH4 2NR","£492,000  on 25 July 2024"
"50 Baroque Drive, Danderhall, Dalkeith, EH22 1PA","£448,995  on 25 July 2024"
"Flat 4, 1 Smiddy Wynd, Edinburgh, EH16 6GU","£406,000  on 25 July 2024"
"225 The Murrays, Edinburgh, EH17 8UN","£415,000  on 25 July 2024"
"95 Candlemaker's Park, Edinburgh, EH17 8TN","£352,500  on 25 July 2024"
"38 Adelphi Place, Edinburgh, EH15 1BE","£195,000  on 25 July 2024"
"24 Newtoft Street, Edinburgh, EH17 8RD","£142,000  on 25 July 2024"
"10 Fernieside Gardens, Edinburgh, EH17 7HN","£250,000  on 25 July 2024"
"Flat 1, 101 Montgomery Street, Edinburgh, EH7 5EY","£331,000  on 25 July 2024"
"24 Hutchison Loan, Edinburgh, EH14 1QF","£200,000  on 25 July 2024"
"4 Dean Park Street, Edinburgh, EH4 1JL","£352,000  on 25 July 2024"
"12 Pentland Terrace, Edinburgh, EH10 6EY","£360,000  on 25 July 2024"
"Flat 8, 2 Friars Croft Crook, Edinburgh, EH30 9EF","£330,000  on 25 July 2024"
"105 Cunningham Square, Edinburgh, EH15 1BA","£297,995  on 25 July 2024"
"45/11, Viewcraig Gardens, Edinburgh, EH8 9UW","£158,000  on 25 July 2024"
"12 James Gall Wynd, Mayfield, Edinburgh, EH16 5FF","£1,050,000  on 25 July 2024"
"4/3, Wardiefield, Edinburgh, EH5 1RX","£115,000  on 25 July 2024"
"12/16 Russell Gardens, Edinburgh, EH12 5PG","£192,000  on 25 July 2024"
"47 Atheling Grove, South Queensferry, West Lothian, EH30 9PF","£255,000  on 25 July 2024"
"86 Brunstane Road, Edinburgh, EH15 2QR","£540,000  on 25 July 2024"
"21 Station Road, Edinburgh, EH12 7AF","£170,000  on 25 July 2024"
"18/12 Johns Place, Edinburgh, EH6 7EN","£210,000  on 25 July 2024"
"11 Castleview Grove, Edinburgh, EH16 4BN","£250,000  on 25 July 2024"
"19 Warriston Crescent, Edinburgh, EH3 5LB","£1,515,000  on 25 July 2024"
"185/1, Broughton Road, Edinburgh, EH7 4LN","£180,000  on 25 July 2024"
"Flat 12, 9 Victoria Quay, Edinburgh, EH6 6EZ","£340,000  on 25 July 2024"
"Flat 4, 4 Cunningham Square, Edinburgh, EH15 1BF","£321,995  on 25 July 2024"
"49 Baroque Drive, Danderhall, Dalkeith, EH22 1PA","£418,995  on 25 July 2024"
"49 Brogan Crescent, Edinburgh, EH12 0DE","£469,995  on 25 July 2024"
"18 Lonsdale Terrace, Edinburgh, EH3 9HL","£360,000  on 25 July 2024"
"18/9, Cowan Road, Edinburgh, EH11 1RQ","£320,000  on 25 July 2024"
"43 Howden Hall Court, Edinburgh, EH16 6UZ","£170,000  on 25 July 2024,£110,000  on 18 February 2021"
"20/5 Wester Hailes Park, Edinburgh, EH14 3AF","£175,000  on 25 July 2024"
"Flat 8, 182 Slateford Road, Edinburgh, EH14 1LR","£345,000  on 25 July 2024"
"11/1 Granton Medway, Edinburgh, EH5 1HQ","£147,500  on 25 July 2024"
"5 Cadogan Road, Edinburgh, EH16 6LX","£647,000  on 25 July 2024"
"Flat 32, 29 King's Stables Road, Edinburgh, EH1 2AP","£395,000  on 24 July 2024"
"6 Muirhouse Bank, Edinburgh, EH4 4QT","£165,000  on 24 July 2024"
"5 Jameson Place, Edinburgh, EH6 8NZ","£240,000  on 24 July 2024"
"115 Ferniehill Road, Edinburgh, EH17 7DA","£225,000  on 24 July 2024"
"298/5 South Gyle Road, Edinburgh, EH12 9DU","£197,500  on 24 July 2024"
"19 Balfour Street, Edinburgh, EH6 5DG","£270,000  on 24 July 2024"
"108 Comiston Road, Edinburgh, EH10 5QL","£282,500  on 24 July 2024"
"8 Carfrae Grove, Edinburgh, EH4 3SB","£605,000  on 24 July 2024"
"Flat 7, 1 Talla Street, Edinburgh, EH16 6FL","£190,000  on 24 July 2024"
"Plot 182, 15 Springfield Street, Edinburgh, EH6 5EF","£455,000  on 24 July 2024"
"49/9 Belford Road, Edinburgh, EH4 3BR","£397,750  on 24 July 2024,£385,000  on 26 November 2021"
"131/2, Fountainbridge, Edinburgh, EH3 9QG","£388,000  on 24 July 2024"
"113 Craigleith Hill Avenue, Edinburgh, EH4 2NB","£413,000  on 24 July 2024,£352,500  on 16 October 2020"
"1 Fairholm Mews, Edinburgh, EH10 4FE","£1,700,000  on 24 July 2024"
"15a Hillside Crescent, Edinburgh, EH7 5EA","£210,000  on 24 July 2024"
"28 Mortonhall Road, Edinburgh, EH9 2HN","£1,100,000  on 24 July 2024"
"1F2, 28 Gardners Crescent, Edinburgh, EH3 8DF","£215,525  on 24 July 2024,£182,500  on 14 January 2022"
"23/5, Blackwood Crescent, Edinburgh, EH9 1RA","£220,000  on 24 July 2024,£231,000  on 30 May 2024,£200,500  on 3 February 2021"
"31a Niddrie Marischal Place, Edinburgh, EH16 4LR","£250,000  on 24 July 2024,£250,000  on 20 June 2023"
"111 Drum Street, Edinburgh, EH17 8RJ","£214,999  on 23 July 2024,£31,000  on 14 June 2023"
"24 Springfield Lea, South Queensferry, EH30 9XD","£330,000  on 23 July 2024"
"55 Cramond Avenue, Edinburgh, EH4 6ND","£345,000  on 23 July 2024"
"3/5 Tytler Gardens, Edinburgh, EH8 8HQ","£225,000  on 23 July 2024"
"Flat 20, 33 Peffer Bank, Edinburgh, EH16 4FG","£170,000  on 23 July 2024,£180,000  on 31 May 2024"
"109 Kingsknowe Road North, Edinburgh, EH14 2DQ","£260,000  on 23 July 2024"
"17A, Cluny Gardens, Edinburgh, EH10 6BH","£575,000  on 23 July 2024,£475,000  on 11 December 2019"
"77 Walker Drive, South Queensferry, West Lothian, EH30 9RS","£130,000  on 23 July 2024"
"8/5, Upper Grove Place, Edinburgh, EH3 8AU","£266,155  on 23 July 2024,£220,000  on 6 April 2023"
"102/94, Commercial Street, Edinburgh, EH6 6LT","£205,000  on 23 July 2024"
"Flat 7, 9 Victoria Quay, Edinburgh, EH6 6EZ","£320,000  on 23 July 2024"
"Flat 1, 5 Smiddy Wynd, Edinburgh, EH16 6GU","£355,000  on 23 July 2024"
"55 Colinton Mains Grove, Edinburgh, EH13 9DG","£227,500  on 23 July 2024"
"14 Lovedale Road, Balerno, EH14 7DW","£470,000  on 23 July 2024"
"7 Alnwickhill Gardens, Edinburgh, EH16 6NF","£325,230  on 23 July 2024"
"3F2, 4 Great King Street, Edinburgh, EH3 6QL","£575,595  on 23 July 2024"
"Flat 1, 10 Western Harbour Breakwater, Edinburgh, EH6 6PZ","£270,000  on 23 July 2024,£227,500  on 9 December 2021"
"26/9 Harrison Gardens, Edinburgh, EH11 1SG","£295,250  on 23 July 2024"
"2F1, 10 Henderson Row, Edinburgh, EH3 5DS","£575,000  on 22 July 2024"
"263/2, Gogarloch Syke, Edinburgh, EH12 9JF","£210,000  on 22 July 2024"
